id,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
0,30000000,3340,JP Nagar Phase 1,4,0,1,1,0,1,,1,1,1,1,1,1,0,1
1,7888000,1045,Dasarahalli on Tumkur Road,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
2,4866000,1179,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
3,8358000,1675,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
4,6845000,1670,Kengeri,3,0,1,1,1,1,,1,1,1,1,1,1,0,1
5,6797000,1220,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
6,20000000,2502,Thanisandra,4,0,1,1,1,0,,1,1,1,1,1,0,0,1
7,7105000,1438,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
8,8405000,1405,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
9,3506000,660,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
10,7700000,1362,Yelahanka,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
11,9369000,1735,Anjanapura,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
12,8716000,1575,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
13,5394000,1120,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
14,6367000,1415,Whitefield Hope Farm Junction,3,0,1,1,0,0,,0,1,0,1,1,0,0,1
15,5080000,1270,Bommasandra,2,0,1,1,1,0,,1,0,0,0,1,1,0,1
16,7209999,1311,Bellandur,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
17,5700000,1210,RR Nagar,2,0,1,1,1,0,,0,1,1,0,1,0,0,1
18,30000000,3340,JP Nagar Phase 1,4,0,1,1,0,1,,1,1,1,1,1,1,0,1
19,7888000,1045,Dasarahalli on Tumkur Road,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
20,4866000,1179,Kannur on Thanisandra Main Road,2,0,1,1,0,0,,1,1,0,1,1,0,0,1
21,8358000,1675,Doddanekundi,3,0,0,1,0,0,,0,0,0,1,0,0,0,0
22,6845000,1670,Kengeri,3,0,1,1,1,1,,1,1,1,1,1,1,0,1
23,6797000,1220,Horamavu,2,0,1,1,1,0,,1,1,1,1,1,1,0,1
24,20000000,2502,Thanisandra,4,0,1,1,1,0,,1,1,1,1,1,0,0,1
25,7105000,1438,Ramamurthy Nagar,3,0,1,1,1,0,,1,1,0,1,0,0,0,1
26,8405000,1405,Whitefield Hope Farm Junction,3,0,1,0,0,0,,1,0,0,1,1,0,0,1
27,3506000,660,Electronic City Phase 1,1,0,1,0,1,1,,1,1,1,1,1,1,0,1
28,7700000,1362,Yelahanka,2,0,1,1,1,0,,1,1,1,0,1,1,0,1
29,9369000,1735,Anjanapura,3,0,1,1,1,0,,1,1,1,1,1,1,0,1
30,8716000,1575,Jalahalli,3,0,1,0,0,0,,1,1,0,0,1,1,0,0
31,5394000,1120,Kasavanahalli,2,0,1,1,1,0,,0,1,1,0,0,1,0,0
