Location,1BHK,2BHK,3BHK
JP Nagar Phase 1,15307604.139039095,16481926.648788018,16977722.60577374
Dasarahalli on Tumkur Road,15219277.717478843,16261974.44254149,17162020.55025121
Kannur on Thanisandra Main Road,15391979.843587616,16311619.000184176,16705781.969651993
Doddanekundi,15205557.556473771,16240642.606628178,17162957.80826526
Kengeri,15381348.743770558,16447698.901731357,16754463.649261357
Horamavu,15285566.771805588,16413192.00544104,17170795.82375354
Thanisandra,15323493.566233838,16501291.201926352,16656732.353699904
Ramamurthy Nagar,15360073.186160084,16512520.668969743,16755758.734281855
Whitefield Hope Farm Junction,15324514.660665497,16467954.201793483,16658983.243020898
Electronic City Phase 1,15166017.507133974,16371867.797119655,17170795.82375354
Yelahanka,15324514.660665497,16414881.721269993,16658983.243020898
Anjanapura,15185730.87574104,16297511.684024895,17048323.56463713
Jalahalli,15302136.893678308,16507320.38558784,16919953.85351746
Kasavanahalli,15387338.074868549,16311619.000184176,16752354.699968975
Bommasandra,15150369.186882725,16272843.873209286,17117654.820730656
Bellandur,15164924.12708974,16465656.015974397,17120599.037124224
RR Nagar,15360325.219525421,16508120.118089963,16744225.55133091
Begur,15164924.12708974,16387515.012543904,17094714.595572744
Hosa Road,15289271.502956443,16423438.13828738,16920451.85397031
Sahakar Nagar,15324933.180994362,16511200.813090311,16748239.240689905
Kadugodi,15314325.198151726,16385232.881663924,16699881.187003857
Jakkur,15300758.858240008,16508028.207758503,16919953.85351746
Jigani,15291675.371214148,16495294.955107855,16839593.569945015
Krishnarajapura,15359455.157560231,16488718.890522663,16756572.598553738
Brookefield,15150369.186882725,16263634.509168092,17117654.820730656
Banashankari,15087085.318928279,16332118.892050311,17048323.56463713
Nelamangala,15359161.041711176,16473498.106547013,16757082.137792941
Attibele,15007659.48816616,16296149.145253772,17048323.56463713
Banaswadi,15132312.261798793,16334707.522663128,17048323.56463713
Kodigehalli,15381348.743770558,16447698.901731357,16754463.649261357
ITPL,15328284.838680921,16462760.491953023,16900804.62721933
Uttarahalli Hobli,15316494.21752605,16498147.698731018,16656732.353699904
Chikkagubbi on Hennur Main Road,15216354.816297213,16181568.31675859,17124027.017604604
Varthur,15324469.220795037,16478788.90969842,16656732.353699904
Vidyaranyapura,15324469.220795037,16478788.90969842,16658983.243020898
Electronic City Phase 2,15134410.411352184,16450744.43404242,17170795.82375354
J. P. Nagar,15321854.124209609,16474292.99015372,17000337.94854834
K. Chudahalli,15303946.201785352,16449922.29107933,16699881.187003857
Narayanaghatta,15345086.610370677,16443040.46253017,16754796.308682
Anekal City,15185730.87574104,16297511.684024895,17048323.56463713
Sarjapur,15326189.19194035,16511120.491373336,16748239.240689905
Koramangala,15359455.157560231,16499240.26340532,16756572.598553738
Hebbal,15285566.771805588,16458909.941591358,17170795.82375354
Budigere Cross,15181441.690196078,16241650.97234728,17119340.72753435
Bommanahalli,15150369.186882725,16265801.245805051,17117654.820730656
Electronics City,15140202.18436663,16452079.614769422,17170795.82375354
Chikkalasandra,15210384.78309714,16181568.31675859,17137146.597490493
Kogilu,15366259.176639136,16458803.161555469,16754463.649261357
Nayandahalli,15359161.041711176,16457658.481666453,16757082.137792941
Bilekahalli,15150369.186882725,16265031.594542954,17117654.820730656
Muneshwara Nagar,15325115.959506331,16441454.742322378,16754796.308682
Junnasandra,15291675.371214148,16450663.370800864,16745749.572766041
Narayanapura on Hennur Main Road,15346336.748198627,16457658.481666453,16757082.137792941
Kothanur,15359455.157560231,16507508.88366661,16756572.598553738
Kadugodi Industrial Area,15357807.493576048,16363300.542729668,16699881.187003857
Sarjapur Road Wipro To Railway Crossing,15339500.351622317,16503035.25114819,16748239.240689905
RMV Extension Stage 2,15365793.629771214,16510377.493954873,16744225.55133091
Kudlu,15359455.157560231,16497430.974477265,16756572.598553738
Talaghattapura,15316593.803576466,16498057.200375814,16656732.353699904
Kumbalgodu,15358872.468478994,16497430.974477265,16756572.598553738
Carmelaram,15175475.159148285,16234326.550660565,17119340.72753435
Uttarahalli,15316494.21752605,16498147.698731018,16656732.353699904
Anagalapura Near Hennur Main Road,15185730.87574104,16239642.102922162,17048323.56463713
Avalahalli Off Sarjapur Road,15043855.576710418,16304414.456693184,17048323.56463713
R T  Nagar,15363321.870109374,16482268.504971415,16744225.55133091
JP Nagar Phase 7,15306828.281879704,16501646.215927301,16919953.85351746
Subramanyapura,15331345.825667052,16500223.910743902,16707583.521237545
JP Nagar Phase 4,15307604.139039095,16475930.437562525,16980313.953503013
JP Nagar Phase 8,15303867.014925605,16501646.215927301,16919953.85351746
Amruthahalli,15192822.350960104,16239642.102922162,17048323.56463713
Nagarbhavi,15343610.69487973,16407853.702525798,16754796.308682
Chandapura,15165803.286043588,16240369.159391286,17119340.72753435
Marsur,15322209.418432416,16450228.867016075,16754796.308682
JP Nagar Phase 3,15307604.139039095,16475930.437562525,16980313.953503013
JP Nagar Phase 9,15306092.066039678,16501646.215927301,16919953.85351746
Gottigere,15153437.724380242,16438619.802629532,17170795.82375354
Kanakapura Road Beyond Nice Ring Road,15374045.410805218,16304721.76597934,16705781.969651993
Harlur,15285566.771805588,16455018.41450834,17170795.82375354
Konanakunte,15374466.242364738,16461867.665280106,16756572.598553738
Richmond Town,15350589.131815385,16502319.46021906,16748239.240689905
Jayanagar,15291675.371214148,16495294.955107855,16867857.07279624
Domlur,15168145.40760901,16240642.606628178,17162957.80826526
Devanahalli,15200709.319974402,16263008.226086026,17162020.55025121
Hulimavu,15322511.705305252,16449825.229638627,16908323.792601116
Kumaraswamy Layout,15359455.157560231,16497430.974477265,16756572.598553738
Bikasipura,15150369.186882725,16265031.594542954,17117654.820730656
Singasandra,15331345.825667052,16500223.910743902,16707583.521237545
JP Nagar Phase 6,15306828.281879704,16501646.215927301,16933229.576197166
Sanjaynagar,15326189.19194035,16511200.813090311,16748239.240689905
CV Raman Nagar,15174670.88978507,16244246.08430213,17119340.72753435
Padmanabhanagar,15359209.858533153,16467692.516929206,16757082.137792941
