Location,1BHK,2BHK,3BHK
Kharghar,15658586.047285633,16795892.1826972,17413845.904860783
Sector-13 Kharghar,15955178.690038454,16989818.32785945,17441629.18941175
Sector 18 Kharghar,16106401.18391218,17030476.012150418,17617378.49566949
Sector 20 Kharghar,16013834.181636894,17023420.315144837,17615256.072020985
Sector 15 Kharghar,16104360.230348745,17059206.22358534,17629540.153176498
Dombivali,16235537.974058622,17387556.648287594,17670608.597565647
Churchgate,16628107.497180447,17424571.615824316,17733846.989885345
Prabhadevi,16426243.485631105,17272087.329735123,17537823.26019977
Jogeshwari West,16610210.175207779,17405158.039564516,17968480.042633813
Kalyan East,15939637.957238443,16754786.83458317,17478845.624421258
Malad East,16109414.346935548,17174867.63978327,17860618.188019603
Virar East,15585243.29341462,17104804.496856533,17950149.776009385
Virar,15595611.005957987,17104804.496856533,17950149.776009385
Malad West,16078375.428589411,17201881.481817603,17860618.188019603
Borivali East,16637367.399124265,17335803.89855834,17622459.884147406
Mira Road East,15950027.631677382,17145118.427322403,17856449.613733996
Goregaon West,16619018.191051759,17439587.746305276,17893226.160463154
Kandivali West,16009670.222993506,16889086.552959237,17557853.764375363
Borivali West,16637367.399124265,17337722.84924906,17623457.48159249
Kandivali East,16083202.115885733,16880778.30206778,17545326.31847712
Andheri East,16272244.72635212,17425239.53000615,18159083.554814067
Goregaon East,16599403.38946858,17452790.78613883,17881555.184866223
Wadala,16374577.945379017,17270895.965361785,18142838.071092803
Ulwe,15803792.632288897,16891840.662905045,17339248.090172347
Dahisar,16511022.007839663,17485961.7219655,17726190.92728511
kandivali,16115677.725059101,16716893.374704916,16871912.208897423
Goregaon,16460487.177308604,17447214.58170806,17805266.42552493
Bhandup West,16176793.437810669,17184446.270415023,17763262.651313722
thakur village kandivali east,16160296.59463732,16624011.095613629,16936150.63267754
Santacruz West,16423642.442484481,17250187.873966817,17509253.65649506
Kanjurmarg,16014085.979745943,16886720.887242775,17557853.764375363
I C Colony,16610101.05964817,17472213.08011115,18013106.921216134
Dahisar W,16505891.345554268,17485961.7219655,17726190.92728511
Marol,16259537.46646551,17176260.329265337,17843468.158240177
Parel,16123540.229261853,17225631.677210495,17534900.79505028
Lower Parel,16071075.141508026,17187983.292010475,18143038.60915598
Worli,16412172.6494337,17260413.487156104,18173369.89637174
Jogeshwari East,16610210.175207779,17404218.721366175,17968480.042633813
Chembur Shell Colony,16628107.497180447,17415253.96128835,17699393.452334944
Central Avenue,16654731.285038995,17410284.15099274,17765961.90768744
Chembur East,16628107.497180447,17415253.96128835,17709201.744865064
Diamond Market Road,16417203.214768743,17483689.738335893,17711148.456523556
Mulund,16039429.496533934,17150159.30963329,17647931.632732987
Nalasopara West,15355765.34068391,16937028.301539827,17535468.622859433
raheja vihar,16166042.606617887,16635510.411575329,16868090.126437988
Powai Lake,16426243.485631105,17267921.34692412,17528926.424430933
MHADA Colony 20,16090124.674488155,17215589.462480452,18143038.60915598
Tolaram Colony,15688015.762731297,16891840.662905045,17339248.090172347
Taloja,15753880.312318658,16902397.011813592,17402611.994935557
Thane West,15903755.23856616,16908199.784033317,17340419.182979885
Vangani,15581741.118425265,17151962.371761523,17357580.63171678
Sector 5 Ulwe,15974132.959879829,16970916.828517113,17466627.6580179
Sector12 New Panvel,15889553.022106944,17027436.39828755,17461296.185417373
Sector 17 Ulwe,16104360.230348745,17059206.22358534,17629540.153176498
Sector9 Kamothe,15825227.717816284,17095499.02696766,17705584.886525504
Sector 19 Kharghar,16108002.038065653,17030476.012150418,17617378.49566949
Navi Basti,15257985.570936121,16954075.78246221,17535468.622859433
Sector12 Kamothe,15917678.962675478,17027436.39828755,17461296.185417373
Sector 21 Kamothe,15998371.809795514,17023420.315144837,17615256.072020985
Rutu Enclave,16438874.92500625,17217321.340117842,17460653.480666112
taloja panchanand,16170609.740810402,16610725.742212722,16936150.63267754
Virar West,15581414.677561449,17090562.281530924,17950149.776009385
Chembur,16633483.54006418,17415253.96128835,17709201.744865064
Sector 20 Kamothe,16018689.259794712,17023420.315144837,17617378.49566949
Sector 22 Kamothe,15994252.953036403,16965604.64294375,17492139.200471062
Sector 18 Kamothe,16104360.230348745,17026641.150136523,17617378.49566949
Sector-5 Kamothe,15936119.815557774,17016634.371598948,17454142.71140567
Sector-6A Kamothe,15936119.815557774,17019169.61255571,17457241.718123
Sector 11 Kamothe,16180165.667058894,17170529.693574157,17602971.493850563
Sector-18 Ulwe,15936119.815557774,16989818.32785945,17441629.18941175
Sector-12 Kamothe,15960629.892224284,16999175.416036762,17466627.6580179
azad nagar,16317365.072184995,17235784.270136356,18173369.89637174
Sindhi Society Chembur,15816777.277347868,17067624.927551754,17690471.903676607
Kurla,15925629.93840474,17105566.877687436,18073211.621707354
Sahkar Nagar,16411865.8875244,17207189.2808623,17460653.480666112
Deonar,16528418.72210978,17486269.438552167,17719224.79339975
Thane,15871533.790573101,16908199.784033317,17340419.182979885
Jankalyan Nagar,16603636.594480693,17404218.721366175,17968480.042633813
Badlapur,16018413.12636946,17109259.094697695,18159083.554814067
Ambarnath,15886359.892335545,17270345.10083677,18159083.554814067
Ambernath West,15766677.36567422,17136933.170097664,18159083.554814067
Vakola,15716363.39870976,16894466.222780168,17357580.63171678
Kamothe,15980816.429225875,16791782.05067823,17537217.016314957
Kamothe Sector 16,15988354.147249637,16806693.17702882,17537217.016314957
Almeida Park,15932086.484654346,17300576.413314186,18159083.554814067
Khar,15569339.812975664,16664351.748019286,17413845.904860783
Bandra West,16276230.94921601,17706327.691089213,18153457.406998944
Pali Hill,15830948.353109526,16805158.901462115,17514760.37791502
15th Road,16035515.057611829,17215892.47932472,18159083.554814067
Palghar,15830948.353109526,16802981.666623667,17514760.37791502
Sector13 Kharghar,15882530.714114014,17041589.03348077,17569859.302902695
Sector 21 Kharghar,15998371.809795514,16965604.64294375,17492139.200471062
Sector 12 Kharghar,16107042.870214695,17132259.553609014,17609213.03694129
Vivek Vidyalaya Marg,16137896.08009717,17229078.70230426,17950149.776009385
Vasai east,15624657.110985722,17149231.078680005,17382769.312789146
Nahur,15343964.546151184,17001823.057955112,17656620.862791944
Badlapur West,16045637.63337287,17165497.53706193,18129888.626453396
Panvel,16123540.229261853,16739903.805455295,17510002.177769344
Kalyan,16083624.463221656,16819995.207848538,17655918.01438358
Badlapur East,16032149.607378734,17098178.70585499,18129888.626453396
Mira Bhayandar,16103072.808311932,17178394.203029025,17849326.552713856
Juhu,16613211.221132286,17550411.824350934,18204190.470834643
Naigaon East,15343964.546151184,16962102.439572,17583563.173915897
Sector 21 Ulwe,16000195.025363453,16965604.64294375,17492139.200471062
Bandra East,16077305.414498717,17685909.77807045,18129888.626453396
Dronagiri,16262365.082318822,17389671.38928866,17661358.907331258
Nerul,15797218.81954086,16961422.11341023,17535468.622859433
Karanjade,15671583.099527452,16691986.861676157,17445487.020470586
Sanpada,16423642.442484481,17216507.230046403,17461298.865877487
Sector-8 Ulwe,15931195.050706798,17019169.61255571,17457241.718123
Sector-3 Ulwe,15936119.815557774,16999201.02424538,17441629.18941175
Sector 23 Ulwe,15994252.953036403,16956567.906030152,17457606.78083579
ULWE SECTOR 19,15803792.632288897,16891840.662905045,17339248.090172347
Ghodbunder Road,16448184.141313141,17395431.25165647,17677612.44071708
Bhiwandi,15995829.97635469,17030900.345131017,17642650.0705892
Vasai,15581539.143005118,17149231.078680005,17372354.774040867
Nala Sopara,15323931.649804635,16962102.439572,17583563.173915897
Dadar East,16524550.532578636,17479298.710566547,17730363.92294266
Ghatkopar,16423449.692761093,17394217.643086426,17677612.44071708
Breach Candy,16644947.205595769,17407614.1613422,17765961.90768744
Worli South Mumbai,16412172.6494337,17260413.487156104,18173369.89637174
Asangaon,16083193.189389568,17109259.094697695,18159083.554814067
Koparkhairane Station Road,15719221.80564425,16817347.94147008,17385085.732908636
Kopar Khairane Sector 19A,15712453.313759392,16817347.94147008,17385085.732908636
Koper Khairane,15719221.80564425,16935915.979396813,17707927.275067233
Eastern Express Highway Vikhroli,16262365.082318822,17373987.640778676,17661358.907331258
Magathane,16102272.5028607,17256198.428761993,18143038.60915598
Rawal Pada,16440698.140574189,17255225.608097237,17486231.455553688
Ambernath East,15785599.77425503,17153678.815056894,18159083.554814067
Dokali Pada,16215821.058434471,17373764.383756317,17636965.115283445
Dattapada,16528418.72210978,17486269.438552167,17719224.79339975
Rajendra Nagar,16454297.911102213,17260060.10951088,17526884.794553176
Kulupwadi,15881873.497177001,17100260.595176812,17986764.93172362
Samata Nagar Thakur Village,16423642.442484481,17207189.2808623,17460653.480666112
Mira Road and Beyond,16012085.256865263,17145118.427322403,17856449.613733996
West Amardeep Colony,16392200.182517882,17270446.50824474,18173369.89637174
Pant Nagar,16156400.151603797,16739903.805455295,17510002.177769344
mumbai,16140439.801951902,16642148.640072918,16868090.126437988
Four Bungalows,16262365.082318822,17373987.640778676,17661358.907331258
no 9,16140439.801951902,16642148.640072918,16868090.126437988
kolshet,16107304.358109487,16650536.746585028,16871912.208897423
Hiranandani Meadows,16610101.05964817,17485809.34125153,18013106.921216134
Kalpataru,16237601.446634546,16862060.21386867,17667216.662705302
Petali,16207463.764371032,17203527.664724775,17514634.222917456
Kharghar Sector 34C,15658586.047285633,16795892.1826972,17413845.904860783
Ghatkopar East,16443130.941622037,17394217.643086426,17677612.44071708
Mumbai Agra National Highway,16049069.630817808,17148970.770505168,17656620.862791944
vasant vihar thane west,16160296.59463732,16631206.899989909,16936150.63267754
Kalyan West,15939637.957238443,16754786.83458317,17478845.624421258
Shirgaon,15827893.709874466,17095499.02696766,17691333.0965625
Pokhran 2,16395227.712274594,17256930.276581153,17541058.357653845
juhu tara,16115677.725059101,16716893.374704916,16871912.208897423
Peddar Road,16207463.764371032,17218336.528963186,17514634.222917456
Palm Beach,15836767.56856402,16829239.266146373,17514760.37791502
Sector 10,16276619.345241332,17191132.578055218,17604596.68314554
Sector 19 Kamothe,16106401.18391218,17030476.012150418,17617378.49566949
Tilak Nagar,15897776.868558604,16917698.5037472,17340419.182979885
Ghatkopar West,16453833.0697635,17395431.25165647,17677612.44071708
Tardeo,15891116.581221031,16902397.011813592,17402611.994935557
Napeansea Road,15355765.34068391,16937028.301539827,17535468.622859433
Mahalaxmi,16159483.492406433,17256198.428761993,18143038.60915598
Dahisar West,16507092.899996163,17485961.7219655,17719224.79339975
Mulund West,16049069.630817808,17148636.61053597,17647931.632732987
Natakwala Lane,15335293.066373508,16937028.301539827,17535468.622859433
Link Road,16012402.625551505,17195835.022670213,18088503.192519084
Devidas Cross Lane,16528418.72210978,17486269.438552167,17719224.79339975
Soniwadi Road,15816777.277347868,17067624.927551754,17690471.903676607
Haridas Nagar,16608212.270074766,17466015.357575532,17977188.48035065
Shimpoli,15833193.305657992,17095499.02696766,17691333.0965625
TPS Road,15753880.312318658,16940519.922956083,17451730.577545036
Off Shimpoli road,15911968.111613376,16837755.831383612,17522622.709932465
Rustomjee Global City,16438874.92500625,17217127.15925927,17460653.480666112
